step,rank,local_batch_size,global_batch_size,images_per_sec,step_time_s,loss
0,0,8,16,3.55,4.382165,
1,0,8,16,3.55,4.305649,
2,0,8,16,3.55,4.373341,
3,0,8,16,3.55,4.486532,
4,0,8,16,3.55,4.298523,
5,0,8,16,3.55,4.310896,
6,0,8,16,3.55,4.325164,
7,0,8,16,3.55,4.505514,
0,1,8,16,3.55,4.465431,3.466977
1,1,8,16,3.55,4.359557,3.43711
2,1,8,16,3.55,4.280014,3.425154
3,1,8,16,3.55,4.494492,3.433084
4,1,8,16,3.55,4.420187,3.433627
5,1,8,16,3.55,4.237641,3.435698
6,1,8,16,3.55,4.354575,3.433142
7,1,8,16,3.55,4.369546,3.43719
0,2,8,16,3.55,4.382021,
1,2,8,16,3.55,4.305821,
2,2,8,16,3.55,4.373137,
3,2,8,16,3.55,4.486604,
4,2,8,16,3.55,4.298464,
5,2,8,16,3.55,4.310898,
6,2,8,16,3.55,4.325166,
7,2,8,16,3.55,4.505498,
0,3,8,16,3.55,4.465436,3.450485
1,3,8,16,3.55,4.359803,3.478162
2,3,8,16,3.55,4.27916,3.433711
3,3,8,16,3.55,4.495573,3.435706
4,3,8,16,3.55,4.420391,3.432802
5,3,8,16,3.55,4.239218,3.434529
6,3,8,16,3.55,4.354333,3.43115
7,3,8,16,3.55,4.369882,3.431117
