step,rank,local_batch_size,global_batch_size,images_per_sec,step_time_s,loss
0,0,4,8,5.66,1.402498,
1,0,4,8,5.66,1.325034,
2,0,4,8,5.66,1.32743,
3,0,4,8,5.66,1.346583,
4,0,4,8,5.66,1.367868,
5,0,4,8,5.66,1.353921,
6,0,4,8,5.66,1.358338,
7,0,4,8,5.66,1.349596,
0,1,4,8,5.66,1.360718,2.785184
1,1,4,8,5.66,1.366468,2.729299
2,1,4,8,5.66,1.339488,2.703825
3,1,4,8,5.66,1.316348,2.701063
4,1,4,8,5.66,1.343089,2.70736
5,1,4,8,5.66,1.363361,2.712815
6,1,4,8,5.66,1.37739,2.704797
7,1,4,8,5.66,1.336787,2.716697
0,2,4,8,5.66,1.402542,
1,2,4,8,5.66,1.325003,
2,2,4,8,5.66,1.327429,
3,2,4,8,5.66,1.346572,
4,2,4,8,5.66,1.367887,
5,2,4,8,5.66,1.353948,
6,2,4,8,5.66,1.358317,
7,2,4,8,5.66,1.349595,
0,3,4,8,5.66,1.360182,2.7166
1,3,4,8,5.66,1.364006,2.710659
2,3,4,8,5.66,1.34012,2.701217
3,3,4,8,5.66,1.317492,2.719158
4,3,4,8,5.66,1.343399,2.707255
5,3,4,8,5.66,1.364742,2.70348
6,3,4,8,5.66,1.375241,2.714444
7,3,4,8,5.66,1.337817,2.707852
