step,rank,local_batch_size,global_batch_size,images_per_sec,step_time_s,loss
0,0,32,64,5.21,11.86345,
1,0,32,64,5.21,12.324213,
2,0,32,64,5.21,11.672106,
3,0,32,64,5.21,11.143727,
4,0,32,64,5.21,11.283404,
5,0,32,64,5.21,11.173919,
6,0,32,64,5.21,12.059479,
7,0,32,64,5.21,11.807272,
0,1,32,64,5.21,11.313886,4.845587
1,1,32,64,5.21,12.352051,4.845919
2,1,32,64,5.21,11.960986,4.846601
3,1,32,64,5.21,11.197423,4.845887
4,1,32,64,5.21,11.289807,4.844083
5,1,32,64,5.21,11.12522,4.844374
6,1,32,64,5.21,11.214808,4.844214
7,1,32,64,5.21,12.107542,4.844227
0,2,32,64,5.21,11.867014,
1,2,32,64,5.21,12.321155,
2,2,32,64,5.21,11.672121,
3,2,32,64,5.21,11.143735,
4,2,32,64,5.21,11.283404,
5,2,32,64,5.21,11.173911,
6,2,32,64,5.21,12.059443,
7,2,32,64,5.21,11.807306,
0,3,32,64,5.21,11.315541,4.837245
1,3,32,64,5.21,12.351277,4.848083
2,3,32,64,5.21,11.962506,4.845963
3,3,32,64,5.21,11.198352,4.847895
4,3,32,64,5.21,11.29019,4.845158
5,3,32,64,5.21,11.12871,4.845459
6,3,32,64,5.21,11.215021,4.843346
7,3,32,64,5.21,12.108771,4.843516
