mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_svc__C,param_svc__gamma,param_svc__kernel,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.003696298599243164,0.0013363512031529265,0.017145204544067382,0.002241091187035501,0.1,scale,linear,"{'svc__C': 0.1, 'svc__gamma': 'scale', 'svc__kernel': 'linear'}",0.8023255813953488,0.7906976744186046,0.7906976744186046,0.7558139534883721,0.8352941176470589,0.7949658002735978,0.02549447180726282,10
0.004198455810546875,0.0014608809331308008,0.020357227325439452,0.0026726758218447327,0.1,scale,rbf,"{'svc__C': 0.1, 'svc__gamma': 'scale', 'svc__kernel': 'rbf'}",0.813953488372093,0.8023255813953488,0.7906976744186046,0.7790697674418605,0.8,0.7972093023255814,0.011711328662338753,7
0.0022730350494384764,0.0005159374393948371,0.008343029022216796,0.009464508190283428,0.1,0.1,linear,"{'svc__C': 0.1, 'svc__gamma': 0.1, 'svc__kernel': 'linear'}",0.8023255813953488,0.7906976744186046,0.7906976744186046,0.7558139534883721,0.8352941176470589,0.7949658002735978,0.02549447180726282,10
0.0026931285858154295,0.0011933412538614814,0.0012260913848876954,0.0001556904793927986,0.1,0.1,rbf,"{'svc__C': 0.1, 'svc__gamma': 0.1, 'svc__kernel': 'rbf'}",0.8023255813953488,0.7906976744186046,0.8023255813953488,0.7790697674418605,0.8235294117647058,0.7995896032831737,0.014752732929732301,3
0.0015402793884277343,0.00013592206183401376,0.0005724906921386718,5.334706145857227e-05,0.1,0.01,linear,"{'svc__C': 0.1, 'svc__gamma': 0.01, 'svc__kernel': 'linear'}",0.8023255813953488,0.7906976744186046,0.7906976744186046,0.7558139534883721,0.8352941176470589,0.7949658002735978,0.02549447180726282,10
0.0022938728332519533,0.00010876094271815049,0.0013709068298339844,2.9221209775769272e-05,0.1,0.01,rbf,"{'svc__C': 0.1, 'svc__gamma': 0.01, 'svc__kernel': 'rbf'}",0.7558139534883721,0.7093023255813954,0.7209302325581395,0.7093023255813954,0.7176470588235294,0.7225991792065664,0.017228712908706405,31
0.0020298004150390626,0.0006825412270719821,0.0005757808685302734,4.649834706513441e-05,0.1,0.001,linear,"{'svc__C': 0.1, 'svc__gamma': 0.001, 'svc__kernel': 'linear'}",0.8023255813953488,0.7906976744186046,0.7906976744186046,0.7558139534883721,0.8352941176470589,0.7949658002735978,0.02549447180726282,10
0.002445554733276367,0.0006879758134020837,0.0013946056365966796,6.451918643086046e-05,0.1,0.001,rbf,"{'svc__C': 0.1, 'svc__gamma': 0.001, 'svc__kernel': 'rbf'}",0.5232558139534884,0.5116279069767442,0.5116279069767442,0.5116279069767442,0.5176470588235295,0.5151573187414501,0.004672358560518512,32
0.0023569583892822264,0.0006373242560666237,0.0005871772766113282,2.5738342960471918e-05,1.0,scale,linear,"{'svc__C': 1, 'svc__gamma': 'scale', 'svc__kernel': 'linear'}",0.8023255813953488,0.7906976744186046,0.7906976744186046,0.7558139534883721,0.8352941176470589,0.7949658002735978,0.02549447180726282,10
0.0019568443298339845,0.00018305967920689153,0.0008943557739257812,1.3806391529689398e-05,1.0,scale,rbf,"{'svc__C': 1, 'svc__gamma': 'scale', 'svc__kernel': 'rbf'}",0.813953488372093,0.813953488372093,0.7790697674418605,0.7790697674418605,0.8,0.7972093023255814,0.015662751851611825,7
