tick_id,mode,n_zones_completed,n_zones_fallback,n_late_reports,n_duplicate_reports,mean_zone_latency_s,max_zone_latency_s,max_mean_ratio,total_tick_latency_s
0,async,15,5,0,0,0.0,0.0,0.0,5.2283
1,async,20,0,0,0,0.0,0.0,0.0,2.3959
2,async,20,0,0,0,0.0,0.0,0.0,2.3978
3,async,20,0,0,0,0.0,0.0,0.0,2.3877
4,async,20,0,0,0,0.0,0.0,0.0,2.4031
5,async,20,0,0,0,0.0,0.0,0.0,2.4698
6,async,20,0,0,0,0.0,0.0,0.0,2.4569
7,async,20,0,0,0,0.0,0.0,0.0,2.368
8,async,20,0,0,0,0.0,0.0,0.0,2.392
9,async,20,0,0,0,0.0,0.0,0.0,2.3543
10,async,20,0,0,0,0.0,0.0,0.0,2.3724
11,async,20,0,0,0,0.0,0.0,0.0,2.409
12,async,20,0,0,0,0.0,0.0,0.0,2.373
13,async,20,0,0,0,0.0,0.0,0.0,2.4092
14,async,20,0,0,0,0.0,0.0,0.0,2.4188
15,async,20,0,0,0,0.0,0.0,0.0,2.4149
16,async,20,0,0,0,0.0,0.0,0.0,2.4189
17,async,20,0,0,0,0.0,0.0,0.0,2.3654
18,async,20,0,0,0,0.0,0.0,0.0,2.3623
19,async,20,0,0,0,0.0,0.0,0.0,2.3593
20,async,20,0,0,0,0.0,0.0,0.0,2.3678
21,async,20,0,0,0,0.0,0.0,0.0,2.4206
22,async,20,0,0,0,0.0,0.0,0.0,2.4061
23,async,20,0,0,0,0.0,0.0,0.0,2.3664
24,async,20,0,0,0,0.0,0.0,0.0,2.3883
25,async,20,0,0,0,0.0,0.0,0.0,2.3791
26,async,20,0,0,0,0.0,0.0,0.0,2.3601
27,async,20,0,0,0,0.0,0.0,0.0,2.4189
28,async,20,0,0,0,0.0,0.0,0.0,2.3725
29,async,20,0,0,0,0.0,0.0,0.0,2.4271
30,async,20,0,0,0,0.0,0.0,0.0,2.4247
31,async,20,0,0,0,0.0,0.0,0.0,2.4387
32,async,20,0,0,0,0.0,0.0,0.0,2.3889
33,async,20,0,0,0,0.0,0.0,0.0,2.3385
34,async,20,0,0,0,0.0,0.0,0.0,2.3875
35,async,20,0,0,0,0.0,0.0,0.0,2.339
36,async,20,0,0,0,0.0,0.0,0.0,2.3987
37,async,20,0,0,0,0.0,0.0,0.0,2.4127
38,async,20,0,0,0,0.0,0.0,0.0,2.3992
39,async,20,0,0,0,0.0,0.0,0.0,2.4134
40,async,20,0,0,0,0.0,0.0,0.0,2.4223
41,async,20,0,0,0,0.0,0.0,0.0,2.4263
42,async,20,0,0,0,0.0,0.0,0.0,2.3956
43,async,20,0,0,0,0.0,0.0,0.0,2.3665
44,async,20,0,0,0,0.0,0.0,0.0,2.304
45,async,20,0,0,0,0.0,0.0,0.0,2.3523
46,async,20,0,0,0,0.0,0.0,0.0,2.3448
47,async,20,0,0,0,0.0,0.0,0.0,2.395
48,async,20,0,0,0,0.0,0.0,0.0,2.32
49,async,20,0,0,0,0.0,0.0,0.0,2.3296
50,async,20,0,0,0,0.0,0.0,0.0,2.3612
51,async,20,0,0,0,0.0,0.0,0.0,2.332
52,async,20,0,0,0,0.0,0.0,0.0,2.3025
53,async,20,0,0,0,0.0,0.0,0.0,2.2571
54,async,20,0,0,0,0.0,0.0,0.0,2.3234
55,async,20,0,0,0,0.0,0.0,0.0,3.0072
56,async,20,0,0,0,0.0,0.0,0.0,2.3365
57,async,20,0,0,0,0.0,0.0,0.0,2.3237
58,async,20,0,0,0,0.0,0.0,0.0,2.316
59,async,20,0,0,0,0.0,0.0,0.0,2.3537
60,async,20,0,0,0,0.0,0.0,0.0,2.3377
61,async,20,0,0,0,0.0,0.0,0.0,2.2779
62,async,20,0,0,0,0.0,0.0,0.0,2.3198
63,async,20,0,0,0,0.0,0.0,0.0,2.3445
64,async,20,0,0,0,0.0,0.0,0.0,2.3558
65,async,20,0,0,0,0.0,0.0,0.0,2.3203
66,async,20,0,0,0,0.0,0.0,0.0,2.3464
67,async,20,0,0,0,0.0,0.0,0.0,2.3262
68,async,20,0,0,0,0.0,0.0,0.0,2.3685
69,async,20,0,0,0,0.0,0.0,0.0,2.278
70,async,20,0,0,0,0.0,0.0,0.0,2.3269
71,async,20,0,0,0,0.0,0.0,0.0,2.2834
72,async,20,0,0,0,0.0,0.0,0.0,2.3355
73,async,20,0,0,0,0.0,0.0,0.0,2.2834
74,async,20,0,0,0,0.0,0.0,0.0,2.3356
75,async,20,0,0,0,0.0,0.0,0.0,2.3504
76,async,20,0,0,0,0.0,0.0,0.0,2.3311
77,async,20,0,0,0,0.0,0.0,0.0,2.3304
78,async,20,0,0,0,0.0,0.0,0.0,2.3379
79,async,20,0,0,0,0.0,0.0,0.0,2.2982
80,async,20,0,0,0,0.0,0.0,0.0,2.3382
81,async,20,0,0,0,0.0,0.0,0.0,2.3426
82,async,20,0,0,0,0.0,0.0,0.0,2.3115
83,async,20,0,0,0,0.0,0.0,0.0,2.3241
84,async,20,0,0,0,0.0,0.0,0.0,2.2652
85,async,20,0,0,0,0.0,0.0,0.0,2.3033
86,async,20,0,0,0,0.0,0.0,0.0,2.2898
87,async,20,0,0,0,0.0,0.0,0.0,2.3716
88,async,20,0,0,0,0.0,0.0,0.0,2.3236
89,async,20,0,0,0,0.0,0.0,0.0,2.3522
90,async,20,0,0,0,0.0,0.0,0.0,2.2881
91,async,20,0,0,0,0.0,0.0,0.0,2.3118
92,async,20,0,0,0,0.0,0.0,0.0,2.3517
93,async,20,0,0,0,0.0,0.0,0.0,2.3379
94,async,20,0,0,0,0.0,0.0,0.0,2.3307
95,async,20,0,0,0,0.0,0.0,0.0,2.3477
96,async,20,0,0,0,0.0,0.0,0.0,2.3302
97,async,20,0,0,0,0.0,0.0,0.0,2.3652
98,async,20,0,0,0,0.0,0.0,0.0,2.3658
99,async,20,0,0,0,0.0,0.0,0.0,2.3255
100,async,20,0,0,0,0.0,0.0,0.0,2.3645
101,async,20,0,0,0,0.0,0.0,0.0,2.3312
102,async,20,0,0,0,0.0,0.0,0.0,2.363
103,async,20,0,0,0,0.0,0.0,0.0,2.3256
104,async,20,0,0,0,0.0,0.0,0.0,2.3946
105,async,20,0,0,0,0.0,0.0,0.0,2.3464
106,async,20,0,0,0,0.0,0.0,0.0,2.3246
107,async,20,0,0,0,0.0,0.0,0.0,2.2925
108,async,20,0,0,0,0.0,0.0,0.0,2.3618
109,async,20,0,0,0,0.0,0.0,0.0,2.3476
110,async,20,0,0,0,0.0,0.0,0.0,2.3377
111,async,20,0,0,0,0.0,0.0,0.0,2.3704
112,async,20,0,0,0,0.0,0.0,0.0,2.3337
113,async,20,0,0,0,0.0,0.0,0.0,2.3268
114,async,20,0,0,0,0.0,0.0,0.0,2.3525
115,async,20,0,0,0,0.0,0.0,0.0,2.3465
116,async,20,0,0,0,0.0,0.0,0.0,2.3035
117,async,20,0,0,0,0.0,0.0,0.0,2.3175
118,async,20,0,0,0,0.0,0.0,0.0,2.3601
119,async,20,0,0,0,0.0,0.0,0.0,2.3492
120,async,20,0,0,0,0.0,0.0,0.0,2.374
121,async,20,0,0,0,0.0,0.0,0.0,2.7655
122,async,20,0,0,0,0.0,0.0,0.0,2.3703
123,async,20,0,0,0,0.0,0.0,0.0,2.325
124,async,20,0,0,0,0.0,0.0,0.0,2.3076
125,async,20,0,0,0,0.0,0.0,0.0,2.2954
126,async,20,0,0,0,0.0,0.0,0.0,2.3524
127,async,20,0,0,0,0.0,0.0,0.0,2.3471
128,async,20,0,0,0,0.0,0.0,0.0,2.4046
129,async,20,0,0,0,0.0,0.0,0.0,2.3274
130,async,20,0,0,0,0.0,0.0,0.0,2.339
131,async,20,0,0,0,0.0,0.0,0.0,2.4017
132,async,20,0,0,0,0.0,0.0,0.0,2.3278
133,async,20,0,0,0,0.0,0.0,0.0,2.3217
134,async,20,0,0,0,0.0,0.0,0.0,2.3308
135,async,20,0,0,0,0.0,0.0,0.0,2.319
136,async,20,0,0,0,0.0,0.0,0.0,2.3479
137,async,20,0,0,0,0.0,0.0,0.0,2.3543
138,async,20,0,0,0,0.0,0.0,0.0,2.3468
139,async,20,0,0,0,0.0,0.0,0.0,2.3827
140,async,20,0,0,0,0.0,0.0,0.0,2.3764
141,async,20,0,0,0,0.0,0.0,0.0,2.3651
142,async,20,0,0,0,0.0,0.0,0.0,2.348
143,async,20,0,0,0,0.0,0.0,0.0,2.3118
144,async,20,0,0,0,0.0,0.0,0.0,2.278
145,async,20,0,0,0,0.0,0.0,0.0,2.3497
146,async,20,0,0,0,0.0,0.0,0.0,2.2733
147,async,20,0,0,0,0.0,0.0,0.0,2.325
148,async,20,0,0,0,0.0,0.0,0.0,2.3725
149,async,20,0,0,0,0.0,0.0,0.0,2.3408
150,async,20,0,0,0,0.0,0.0,0.0,2.3056
151,async,20,0,0,0,0.0,0.0,0.0,2.283
152,async,20,0,0,0,0.0,0.0,0.0,2.3212
153,async,20,0,0,0,0.0,0.0,0.0,2.3139
154,async,20,0,0,0,0.0,0.0,0.0,2.4063
155,async,20,0,0,0,0.0,0.0,0.0,2.3245
156,async,20,0,0,0,0.0,0.0,0.0,2.3429
157,async,20,0,0,0,0.0,0.0,0.0,2.2891
158,async,20,0,0,0,0.0,0.0,0.0,2.3235
159,async,20,0,0,0,0.0,0.0,0.0,2.3268
160,async,20,0,0,0,0.0,0.0,0.0,2.2992
161,async,20,0,0,0,0.0,0.0,0.0,2.3678
162,async,20,0,0,0,0.0,0.0,0.0,2.3668
163,async,20,0,0,0,0.0,0.0,0.0,2.37
164,async,20,0,0,0,0.0,0.0,0.0,2.3714
165,async,20,0,0,0,0.0,0.0,0.0,2.3285
166,async,20,0,0,0,0.0,0.0,0.0,2.3731
167,async,20,0,0,0,0.0,0.0,0.0,2.336
168,async,20,0,0,0,0.0,0.0,0.0,2.3044
169,async,20,0,0,0,0.0,0.0,0.0,2.3461
170,async,20,0,0,0,0.0,0.0,0.0,2.3584
171,async,20,0,0,0,0.0,0.0,0.0,2.337
172,async,20,0,0,0,0.0,0.0,0.0,2.3126
173,async,20,0,0,0,0.0,0.0,0.0,2.3138
174,async,20,0,0,0,0.0,0.0,0.0,2.3618
175,async,20,0,0,0,0.0,0.0,0.0,2.377
176,async,20,0,0,0,0.0,0.0,0.0,2.3465
177,async,20,0,0,0,0.0,0.0,0.0,2.3384
178,async,20,0,0,0,0.0,0.0,0.0,2.3188
179,async,20,0,0,0,0.0,0.0,0.0,2.4029
180,async,20,0,0,0,0.0,0.0,0.0,2.3395
181,async,20,0,0,0,0.0,0.0,0.0,2.3847
