tick_id,mode,n_zones_completed,n_zones_fallback,n_late_reports,n_duplicate_reports,mean_zone_latency_s,max_zone_latency_s,max_mean_ratio,total_tick_latency_s
0,blocking,20,0,0,0,0.2502,1.0012,4.0018,5.3666
1,blocking,20,0,0,0,0.2503,1.0011,4.0001,1.1527
2,blocking,20,0,0,0,0.2503,1.0012,3.9998,1.1716
3,blocking,20,0,0,0,0.2502,1.0011,4.0008,1.1401
4,blocking,20,0,0,0,0.2502,1.0012,4.0013,1.1679
5,blocking,20,0,0,0,0.2503,1.0011,4.0002,1.1656
6,blocking,20,0,0,0,0.2502,1.0011,4.0013,1.1536
7,blocking,20,0,0,0,0.2502,1.0009,4.0012,1.1561
8,blocking,20,0,0,0,0.2502,1.0011,4.0012,1.1564
9,blocking,20,0,0,0,0.2502,1.0012,4.0014,1.1443
10,blocking,20,0,0,0,0.2502,1.0011,4.0012,1.1489
11,blocking,20,0,0,0,0.2502,1.0011,4.0005,1.1342
12,blocking,20,0,0,0,0.2503,1.0011,4.0,1.1518
13,blocking,20,0,0,0,0.2502,1.0012,4.0019,1.2034
14,blocking,20,0,0,0,0.2505,1.0027,4.0022,1.3146
15,blocking,20,0,0,0,0.2505,1.0017,3.9988,1.2057
16,blocking,20,0,0,0,0.2503,1.0014,4.0013,1.1924
17,blocking,20,0,0,0,0.2502,1.0011,4.0015,1.1442
18,blocking,20,0,0,0,0.2502,1.0012,4.0011,1.1688
19,blocking,20,0,0,0,0.2503,1.0012,4.0006,1.1764
20,blocking,20,0,0,0,0.2503,1.0011,4.0002,1.1618
21,blocking,20,0,0,0,0.2503,1.0012,4.0003,1.1739
22,blocking,20,0,0,0,0.2502,1.0014,4.0019,1.1627
23,blocking,20,0,0,0,0.2502,1.0011,4.001,1.1434
24,blocking,20,0,0,0,0.2503,1.0012,4.0007,1.1602
25,blocking,20,0,0,0,0.2502,1.0011,4.001,1.1483
26,blocking,20,0,0,0,0.2502,1.0012,4.0013,1.1855
27,blocking,20,0,0,0,0.2502,1.0014,4.0021,1.1853
28,blocking,20,0,0,0,0.2503,1.0014,4.0003,1.1869
29,blocking,20,0,0,0,0.2502,1.0013,4.002,1.1571
30,blocking,20,0,0,0,0.2503,1.0013,4.0009,1.1527
31,blocking,20,0,0,0,0.2503,1.0012,4.0007,1.1812
32,blocking,20,0,0,0,0.2503,1.0012,4.0006,1.1703
33,blocking,20,0,0,0,0.2503,1.0014,4.0009,1.1737
34,blocking,20,0,0,0,0.2502,1.0011,4.0014,1.1457
35,blocking,20,0,0,0,0.2502,1.0011,4.001,1.169
36,blocking,20,0,0,0,0.2502,1.0011,4.0006,1.1606
37,blocking,20,0,0,0,0.2502,1.0013,4.0014,1.1715
38,blocking,20,0,0,0,0.2502,1.0012,4.0008,1.1908
39,blocking,20,0,0,0,0.2503,1.0012,4.0004,1.1466
40,blocking,20,0,0,0,0.2503,1.0012,4.0008,1.1557
41,blocking,20,0,0,0,0.2502,1.0012,4.0014,1.159
42,blocking,20,0,0,0,0.2503,1.0013,4.0008,1.1831
43,blocking,20,0,0,0,0.2503,1.0012,4.0008,1.1661
44,blocking,20,0,0,0,0.2502,1.0013,4.0013,1.1797
45,blocking,20,0,0,0,0.2503,1.0011,4.0003,1.1515
46,blocking,20,0,0,0,0.2503,1.0013,4.0001,1.1868
47,blocking,20,0,0,0,0.2502,1.0011,4.0004,1.1459
48,blocking,20,0,0,0,0.2502,1.0013,4.002,1.188
49,blocking,20,0,0,0,0.2503,1.0011,4.0004,1.165
