tick_id,mode,n_zones_completed,n_zones_fallback,n_late_reports,n_duplicate_reports,mean_zone_latency_s,max_zone_latency_s,max_mean_ratio,total_tick_latency_s
0,async,0,20,0,0,0.0,0.0,0.0,12.67
1,async,0,20,0,0,0.0,0.0,0.0,2.2795
2,async,0,20,0,0,0.0,0.0,0.0,2.5038
3,async,0,20,0,0,0.0,0.0,0.0,2.3731
4,async,0,20,0,0,0.0,0.0,0.0,2.3101
5,async,0,20,0,0,0.0,0.0,0.0,2.2827
6,async,0,20,0,0,0.0,0.0,0.0,2.3304
7,async,0,20,0,0,0.0,0.0,0.0,2.3071
8,async,0,20,0,0,0.0,0.0,0.0,2.3397
9,async,0,20,0,0,0.0,0.0,0.0,2.2829
10,async,0,20,40,0,0.0,0.0,0.0,2.3428
11,async,0,20,0,0,0.0,0.0,0.0,2.281
12,async,0,20,0,0,0.0,0.0,0.0,2.3044
13,async,0,20,0,0,0.0,0.0,0.0,2.269
14,async,0,20,0,0,0.0,0.0,0.0,2.3225
15,async,0,20,0,0,0.0,0.0,0.0,2.2713
16,async,0,20,0,0,0.0,0.0,0.0,2.3215
17,async,0,20,0,0,0.0,0.0,0.0,2.3253
18,async,0,20,0,0,0.0,0.0,0.0,2.3159
19,async,0,20,0,0,0.0,0.0,0.0,2.3191
20,async,0,20,40,0,0.0,0.0,0.0,2.3261
21,async,0,20,0,0,0.0,0.0,0.0,2.3165
22,async,0,20,0,0,0.0,0.0,0.0,2.2792
23,async,0,20,0,0,0.0,0.0,0.0,2.3024
24,async,0,20,0,0,0.0,0.0,0.0,2.3078
25,async,0,20,0,0,0.0,0.0,0.0,2.2459
26,async,0,20,0,0,0.0,0.0,0.0,2.2748
27,async,0,20,0,0,0.0,0.0,0.0,2.3231
28,async,0,20,0,0,0.0,0.0,0.0,2.3325
29,async,0,20,0,0,0.0,0.0,0.0,2.3021
30,async,0,20,40,0,0.0,0.0,0.0,2.3181
31,async,0,20,0,0,0.0,0.0,0.0,2.3042
32,async,0,20,0,0,0.0,0.0,0.0,2.3031
33,async,0,20,0,0,0.0,0.0,0.0,2.2916
34,async,0,20,0,0,0.0,0.0,0.0,2.3212
35,async,0,20,0,0,0.0,0.0,0.0,2.2937
36,async,0,20,0,0,0.0,0.0,0.0,2.296
37,async,0,20,0,0,0.0,0.0,0.0,2.2827
38,async,0,20,0,0,0.0,0.0,0.0,2.288
39,async,0,20,0,0,0.0,0.0,0.0,2.2708
40,async,0,20,40,0,0.0,0.0,0.0,2.3045
41,async,0,20,0,0,0.0,0.0,0.0,2.3022
42,async,0,20,0,0,0.0,0.0,0.0,2.2656
43,async,0,20,0,0,0.0,0.0,0.0,2.2983
44,async,0,20,0,0,0.0,0.0,0.0,2.2818
45,async,0,20,0,0,0.0,0.0,0.0,2.2968
46,async,0,20,0,0,0.0,0.0,0.0,2.2621
47,async,0,20,0,0,0.0,0.0,0.0,2.3039
48,async,0,20,0,0,0.0,0.0,0.0,2.2712
49,async,0,20,0,0,0.0,0.0,0.0,2.2981
50,async,0,20,40,0,0.0,0.0,0.0,2.2988
51,async,0,20,0,0,0.0,0.0,0.0,2.2966
52,async,0,20,0,0,0.0,0.0,0.0,2.2787
53,async,0,20,0,0,0.0,0.0,0.0,2.2653
54,async,0,20,0,0,0.0,0.0,0.0,2.2841
55,async,0,20,0,0,0.0,0.0,0.0,2.32
56,async,0,20,0,0,0.0,0.0,0.0,2.2681
57,async,0,20,0,0,0.0,0.0,0.0,2.2791
58,async,0,20,0,0,0.0,0.0,0.0,2.2863
59,async,0,20,0,0,0.0,0.0,0.0,2.298
60,async,0,20,40,0,0.0,0.0,0.0,2.2698
61,async,0,20,0,0,0.0,0.0,0.0,2.2983
62,async,0,20,0,0,0.0,0.0,0.0,2.2938
63,async,0,20,0,0,0.0,0.0,0.0,2.3915
64,async,0,20,0,0,0.0,0.0,0.0,2.2537
65,async,0,20,0,0,0.0,0.0,0.0,2.3113
66,async,0,20,0,0,0.0,0.0,0.0,2.288
67,async,0,20,0,0,0.0,0.0,0.0,2.2448
68,async,0,20,0,0,0.0,0.0,0.0,2.2592
69,async,0,20,0,0,0.0,0.0,0.0,2.2988
70,async,0,20,40,0,0.0,0.0,0.0,2.2795
71,async,0,20,0,0,0.0,0.0,0.0,2.2989
72,async,0,20,0,0,0.0,0.0,0.0,2.2619
73,async,0,20,0,0,0.0,0.0,0.0,2.2897
74,async,0,20,0,0,0.0,0.0,0.0,2.3074
75,async,0,20,0,0,0.0,0.0,0.0,2.3145
76,async,0,20,0,0,0.0,0.0,0.0,2.2765
77,async,0,20,0,0,0.0,0.0,0.0,2.3049
78,async,0,20,0,0,0.0,0.0,0.0,2.3085
79,async,0,20,0,0,0.0,0.0,0.0,2.2894
80,async,0,20,40,0,0.0,0.0,0.0,2.2976
81,async,0,20,0,0,0.0,0.0,0.0,2.2456
82,async,0,20,0,0,0.0,0.0,0.0,2.2746
83,async,0,20,0,0,0.0,0.0,0.0,2.2938
84,async,0,20,0,0,0.0,0.0,0.0,2.2828
85,async,0,20,0,0,0.0,0.0,0.0,2.3035
86,async,0,20,0,0,0.0,0.0,0.0,2.2972
87,async,0,20,0,0,0.0,0.0,0.0,2.2975
88,async,0,20,0,0,0.0,0.0,0.0,2.2781
89,async,0,20,0,0,0.0,0.0,0.0,2.295
90,async,0,20,40,0,0.0,0.0,0.0,2.2895
91,async,0,20,0,0,0.0,0.0,0.0,2.2852
92,async,0,20,0,0,0.0,0.0,0.0,2.2973
93,async,0,20,0,0,0.0,0.0,0.0,2.2943
94,async,0,20,0,0,0.0,0.0,0.0,2.2713
95,async,0,20,0,0,0.0,0.0,0.0,2.2943
96,async,0,20,0,0,0.0,0.0,0.0,2.2806
97,async,0,20,0,0,0.0,0.0,0.0,2.297
98,async,0,20,0,0,0.0,0.0,0.0,2.282
99,async,0,20,0,0,0.0,0.0,0.0,2.2974
100,async,0,20,40,0,0.0,0.0,0.0,2.3066
101,async,0,20,0,0,0.0,0.0,0.0,2.3114
102,async,0,20,0,0,0.0,0.0,0.0,2.2935
103,async,0,20,0,0,0.0,0.0,0.0,2.3036
104,async,0,20,0,0,0.0,0.0,0.0,2.3799
105,async,0,20,0,0,0.0,0.0,0.0,2.2833
106,async,0,20,0,0,0.0,0.0,0.0,2.2839
107,async,0,20,0,0,0.0,0.0,0.0,2.2874
108,async,0,20,0,0,0.0,0.0,0.0,2.2804
109,async,0,20,0,0,0.0,0.0,0.0,2.2595
110,async,0,20,40,0,0.0,0.0,0.0,2.2676
111,async,0,20,0,0,0.0,0.0,0.0,2.2835
112,async,0,20,0,0,0.0,0.0,0.0,2.2874
113,async,0,20,0,0,0.0,0.0,0.0,2.2878
114,async,0,20,0,0,0.0,0.0,0.0,2.3101
115,async,0,20,0,0,0.0,0.0,0.0,2.2955
116,async,0,20,0,0,0.0,0.0,0.0,2.2918
