tick_id,mode,n_zones_completed,n_zones_fallback,n_late_reports,n_duplicate_reports,mean_zone_latency_s,max_zone_latency_s,max_mean_ratio,total_tick_latency_s
0,blocking,20,0,0,0,1.8006,3.0013,1.6668,8.6033
1,blocking,20,0,0,0,1.8006,3.0012,1.6668,3.1741
2,blocking,20,0,0,0,1.8005,3.0012,1.6669,3.1704
3,blocking,20,0,0,0,1.8004,3.0011,1.6669,3.1767
4,blocking,20,0,0,0,1.8005,3.0012,1.6668,3.1673
5,blocking,20,0,0,0,1.8006,3.0012,1.6668,3.178
6,blocking,20,0,0,0,1.8007,3.0014,1.6668,3.1686
7,blocking,20,0,0,0,1.8006,3.0011,1.6668,3.1716
8,blocking,20,0,0,0,1.8004,3.0011,1.6669,3.1718
9,blocking,20,0,0,0,1.8005,3.0011,1.6668,3.1648
10,blocking,20,0,0,0,1.8032,3.0197,1.6746,3.2754
11,blocking,20,0,0,0,1.8005,3.0011,1.6669,3.2081
12,blocking,20,0,0,0,1.8005,3.0011,1.6668,3.1602
13,blocking,20,0,0,0,1.8005,3.0011,1.6668,3.1627
14,blocking,20,0,0,0,1.8007,3.0018,1.667,3.1659
15,blocking,20,0,0,0,1.8005,3.0011,1.6668,3.1697
16,blocking,20,0,0,0,1.8004,3.0012,1.667,3.195
17,blocking,20,0,0,0,1.8026,3.0075,1.6685,3.25
18,blocking,20,0,0,0,1.8006,3.0011,1.6668,3.1863
19,blocking,20,0,0,0,1.8005,3.0011,1.6668,3.1781
20,blocking,20,0,0,0,1.8005,3.0011,1.6668,3.1668
21,blocking,20,0,0,0,1.8006,3.0011,1.6667,3.1695
22,blocking,20,0,0,0,1.8006,3.0012,1.6668,3.1775
23,blocking,20,0,0,0,1.8007,3.0021,1.6672,3.1715
24,blocking,20,0,0,0,1.8005,3.0011,1.6669,3.1736
25,blocking,20,0,0,0,1.8006,3.0012,1.6668,3.1677
26,blocking,20,0,0,0,1.8005,3.0013,1.6669,3.1751
27,blocking,20,0,0,0,1.8004,3.0011,1.6669,3.1836
28,blocking,20,0,0,0,1.8005,3.0012,1.6668,3.1712
29,blocking,20,0,0,0,1.8004,3.0011,1.6669,3.1726
30,blocking,20,0,0,0,1.8005,3.0011,1.6669,3.1717
31,blocking,20,0,0,0,1.8006,3.0012,1.6668,3.1762
32,blocking,20,0,0,0,1.8005,3.0012,1.6668,3.1779
33,blocking,20,0,0,0,1.8004,3.0011,1.6669,3.1712
34,blocking,20,0,0,0,1.8005,3.0011,1.6669,3.1708
35,blocking,20,0,0,0,1.8005,3.0011,1.6669,3.178
36,blocking,20,0,0,0,1.8005,3.0011,1.6668,3.1665
37,blocking,20,0,0,0,1.8021,3.0072,1.6687,3.2392
38,blocking,20,0,0,0,1.8005,3.0011,1.6668,3.1814
39,blocking,20,0,0,0,1.8005,3.0011,1.6668,3.1602
40,blocking,20,0,0,0,1.8005,3.0011,1.6668,3.1769
41,blocking,20,0,0,0,1.8005,3.0011,1.6668,3.1626
42,blocking,20,0,0,0,1.8005,3.0011,1.6668,3.1665
43,blocking,20,0,0,0,1.8021,3.0061,1.6681,3.2469
44,blocking,20,0,0,0,1.8006,3.0011,1.6667,3.1766
45,blocking,20,0,0,0,1.8013,3.003,1.6671,3.3949
46,blocking,20,0,0,0,1.8008,3.002,1.6671,3.2143
47,blocking,20,0,0,0,1.8005,3.0012,1.6668,3.1927
48,blocking,20,0,0,0,1.8006,3.0011,1.6668,3.1668
49,blocking,20,0,0,0,1.8005,3.0011,1.6668,3.1779
